id,count,30 to 44:count,state,65 and older,30 to 44,18 to 29:count,45 to 64:count,45 to 64,party,18 to 29,65 and older:count,name,17 to 29:count,17 to 29
1,14,3,AL,0,1,0,11,2,R,0,0,Other/No Answer,,
2,231,55,AL,19,21,42,80,15,R,26,54,Marco Rubio,,
3,58,16,AL,3,6,6,27,5,R,4,9,John Kasich,,
4,13,3,AL,1,1,2,5,1,R,1,3,Uncommitted,,
5,258,60,AL,24,23,34,96,18,R,21,68,Ted Cruz,,
6,127,29,AL,9,11,24,48,9,R,15,26,Ben Carson,,
7,5,0,AL,1,0,2,0,0,R,1,3,Jeb Bush,,
8,540,96,AL,44,37,53,266,50,R,33,125,Donald Trump,,
9,1237,260,AL,23,21,161,532,43,R,13,285,total,,
10,5,0,AL,1,0,0,3,1,D,0,2,Other/No Answer,,
11,667,166,AL,85,77,63,276,82,D,52,162,Hillary Clinton,,
12,23,4,AL,1,2,10,7,2,D,8,2,Uncommitted,,
13,169,45,AL,13,21,48,51,15,D,40,25,Bernie Sanders,,
14,865,216,AL,22,25,121,337,39,D,14,190,total,,
15,23,2,AR,1,1,5,12,2,R,4,4,Other/No Answer,,
16,350,59,AR,32,25,22,128,22,R,18,141,Marco Rubio,,
17,55,9,AR,3,4,4,29,5,R,3,13,John Kasich,,
18,403,56,AR,27,24,42,186,32,R,34,119,Ted Cruz,,
19,71,9,AR,5,4,11,29,5,R,9,22,Ben Carson,,
20,6,2,AR,1,1,0,0,0,R,0,4,Jeb Bush,,
21,470,96,AR,31,41,40,197,34,R,32,137,Donald Trump,,
22,1382,235,AR,32,17,124,580,42,R,9,442,total,,
23,20,9,AR,3,5,0,4,1,D,0,7,Other/No Answer,,
24,656,95,AR,81,53,67,310,80,D,42,184,Hillary Clinton,,
25,278,75,AR,16,42,93,74,19,D,58,36,Bernie Sanders,,
26,944,179,AR,24,19,160,387,41,D,17,227,total,,
27,34,3,FL,2,1,3,17,2,R,2,11,Other/No Answer,,
28,522,97,FL,26,30,58,223,26,R,34,144,Marco Rubio,,
29,132,16,FL,11,5,12,43,5,R,7,61,John Kasich,,
30,326,52,FL,14,16,34,163,19,R,20,77,Ted Cruz,,
31,20,3,FL,1,1,2,9,1,R,1,6,Ben Carson,,
32,871,152,FL,46,47,62,403,47,R,36,254,Donald Trump,,
33,1907,324,FL,29,17,172,858,45,R,9,553,total,,
34,39,3,FL,5,1,2,13,2,D,1,21,Other/No Answer,,
35,1055,212,FL,70,64,87,466,72,D,35,290,Hillary Clinton,,
36,547,116,FL,25,35,159,168,26,D,64,104,Bernie Sanders,,
37,1659,332,FL,25,20,249,647,39,D,15,415,total,,
38,419,86,GA,27,24,48,184,23,R,28,101,Marco Rubio,,
39,102,11,GA,10,3,5,48,6,R,3,38,John Kasich,,
40,397,93,GA,18,26,44,192,24,R,26,68,Ted Cruz,,
41,101,39,GA,2,11,14,40,5,R,8,8,Ben Carson,,
42,8,0,GA,0,0,0,8,1,R,0,0,Jeb Bush,,
43,678,129,GA,43,36,60,328,41,R,35,161,Donald Trump,,
44,1704,358,GA,22,21,170,801,47,R,10,375,total,,
45,9,0,GA,1,0,0,7,1,D,0,2,Other/No Answer,,
46,1073,213,GA,80,65,96,573,80,D,46,191,Hillary Clinton,,
47,409,115,GA,19,35,113,136,19,D,54,45,Bernie Sanders,,
48,1491,328,GA,16,22,209,716,48,D,14,239,total,,
49,19,14,IL,0,6,,5,1,R,,0,Other/No Answer,0,0
50,102,16,IL,6,7,,43,8,R,,18,Marco Rubio,25,17
51,244,61,IL,22,26,,87,16,R,,65,John Kasich,31,21
52,373,70,IL,29,30,,174,32,R,,86,Ted Cruz,43,29
53,8,2,IL,1,1,,0,0,R,,3,Ben Carson,3,2
54,474,70,IL,42,30,,233,43,R,,124,Donald Trump,47,32
55,1233,234,IL,24,19,,543,44,R,,296,total,148,12
56,9,0,IL,1,0,,6,1,D,,3,Other/No Answer,0,0
57,768,141,IL,70,42,,356,60,D,,235,Hillary Clinton,36,14
58,745,194,IL,29,58,,231,39,D,,97,Bernie Sanders,223,86
59,1521,335,IL,22,22,,593,39,D,,335,total,259,17
60,8,1,MA,2,1,0,3,1,R,0,4,Other/No Answer,,
61,115,42,MA,15,29,0,45,13,R,0,28,Marco Rubio,,
62,1,1,MA,0,1,0,0,0,R,0,0,No Preference,,
63,115,20,MA,22,14,0,55,16,R,0,40,John Kasich,,
64,64,12,MA,6,8,0,41,12,R,0,11,Ted Cruz,,
65,19,1,MA,2,1,0,14,4,R,0,4,Ben Carson,,
66,8,1,MA,2,1,0,3,1,R,0,4,Jeb Bush,,
67,341,65,MA,51,45,0,182,53,R,0,94,Donald Trump,,
68,801,144,MA,23,18,120,344,43,R,15,184,total,,
69,3,0,MA,1,0,0,0,0,D,0,3,Other/No Answer,,
70,708,178,MA,59,55,93,279,51,D,35,158,Hillary Clinton,,
71,11,3,MA,1,1,0,5,1,D,0,3,No Preference,,
72,683,142,MA,39,44,174,263,48,D,65,104,Bernie Sanders,,
73,1406,323,MA,19,23,267,548,39,D,19,267,total,,
74,16,3,MI,0,1,2,11,2,R,1,0,Other/No Answer,,
75,130,31,MI,9,11,21,48,9,R,11,30,Marco Rubio,,
76,317,59,MI,22,21,55,129,24,R,29,74,John Kasich,,
77,20,6,MI,1,2,0,11,2,R,0,3,Uncommitted,,
78,327,87,MI,24,31,47,113,21,R,25,80,Ted Cruz,,
79,26,8,MI,2,3,6,5,1,R,3,7,Ben Carson,,
80,506,87,MI,42,31,58,220,41,R,31,141,Donald Trump,,
81,1341,282,MI,25,21,188,536,40,R,14,335,total,,
82,3,0,MI,1,0,0,0,0,D,0,3,Other/No Answer,,
83,773,175,MI,69,42,58,319,57,D,19,221,Hillary Clinton,,
84,32,21,MI,0,5,0,11,2,D,0,0,Uncommitted,,
85,792,220,MI,30,53,246,230,41,D,81,96,Bernie Sanders,,
86,1601,416,MI,20,26,304,560,35,D,19,320,total,,
87,2,0,MS,0,0,,0,0,R,,0,Other/No Answer,2,1
88,71,16,MS,5,7,,22,4,R,,18,Marco Rubio,15,10
89,98,18,MS,7,8,,50,9,R,,25,John Kasich,5,3
90,480,99,MS,33,43,,205,37,R,,119,Ted Cruz,57,37
91,26,5,MS,1,2,,11,2,R,,4,Ben Carson,6,4
92,629,95,MS,54,41,,271,49,R,,194,Donald Trump,69,45
93,1285,231,MS,28,18,,553,43,R,,360,total,154,12
94,9,3,MS,0,1,,4,1,D,,0,Other/No Answer,2,1
95,865,205,MS,91,79,,374,90,D,,189,Hillary Clinton,97,62
96,166,52,MS,9,20,,37,9,D,,19,Bernie Sanders,58,37
97,1038,260,MS,20,25,,415,40,D,,208,total,156,15
98,13,5,MO,0,2,2,6,1,R,1,0,Other/No Answer,,
99,83,10,MO,4,4,11,49,8,R,6,13,Marco Rubio,,
100,136,28,MO,12,11,9,61,10,R,5,38,John Kasich,,
101,6,0,MO,0,0,0,6,1,R,0,0,Uncommitted,,
102,554,124,MO,34,48,85,239,39,R,48,106,Ted Cruz,,
103,10,5,MO,1,2,2,0,0,R,1,3,Ben Carson,,
104,558,85,MO,49,33,69,251,41,R,39,153,Donald Trump,,
105,1363,259,MO,23,19,177,613,45,R,13,313,total,,
106,3,0,MO,1,0,0,0,0,D,0,3,Other/No Answer,,
107,581,114,MO,69,39,39,251,58,D,21,177,Hillary Clinton,,
108,6,0,MO,0,0,2,4,1,D,1,0,Uncommitted,,
109,578,178,MO,30,61,146,177,41,D,78,77,Bernie Sanders,,
110,1168,292,MO,22,25,187,432,37,D,16,257,total,,
111,9,3,NH,0,1,6,0,0,R,2,0,Other/No Answer,,
112,0,0,NH,0,0,0,0,0,R,0,0,Mike Huckabee,,
113,330,42,NH,19,12,34,180,18,R,11,74,John Kasich,,
114,222,24,NH,15,7,30,110,11,R,10,58,Jeb Bush,,
