id,18 to 44,count,name,party,state,45 and older,17 to 44 year olds
1,23,,Marco Rubio,R,AL,17,
2,5,,John Kasich,R,AL,4,
3,1,,Uncommitted,R,AL,1,
4,22,,Ted Cruz,R,AL,21,
5,13,,Ben Carson,R,AL,9,
6,0,,Jeb Bush,R,AL,1,
7,36,,Donald Trump,R,AL,48,
8,34,1237,total,R,AL,66,
9,,,Other/No Answer,D,AL,1,
10,68,,Hillary Clinton,D,AL,83,
11,4,,Uncommitted,D,AL,2,
12,28,,Bernie Sanders,D,AL,14,
13,39,865,total,D,AL,61,
14,4,,Other/No Answer,R,AR,1,
15,23,,Marco Rubio,R,AR,26,
16,3,,John Kasich,R,AR,4,
17,27,,Ted Cruz,R,AR,30,
18,5,,Ben Carson,R,AR,5,
19,0,,Jeb Bush,R,AR,1,
20,38,,Donald Trump,R,AR,33,
21,26,1382,total,R,AR,74,
22,3,,Other/No Answer,D,AR,2,
23,48,,Hillary Clinton,D,AR,80,
24,49,,Bernie Sanders,D,AR,18,
25,35,944,total,D,AR,65,
26,1,,Other/No Answer,D,FL,3,
27,51,,Hillary Clinton,D,FL,71,
28,48,,Bernie Sanders,D,FL,26,
29,35,1659,total,D,FL,65,
30,26,,Marco Rubio,R,GA,24,
31,3,,John Kasich,R,GA,7,
32,26,,Ted Cruz,R,GA,22,
33,10,,Ben Carson,R,GA,4,
34,0,,Jeb Bush,R,GA,1,
35,35,,Donald Trump,R,GA,42,
36,31,1704,total,R,GA,69,
37,,,Other/No Answer,D,GA,1,
38,58,,Hillary Clinton,D,GA,80,
39,42,,Bernie Sanders,D,GA,19,
40,36,1491,total,D,GA,64,
41,,,Other/No Answer,R,IL,,3
42,,,Marco Rubio,R,IL,8,11
43,,,John Kasich,R,IL,18,24
44,,,Ted Cruz,R,IL,31,29
45,,,Ben Carson,R,IL,0,2
46,,,Donald Trump,R,IL,43,31
47,,1233,total,R,IL,69,31
48,,,Other/No Answer,D,IL,1,
49,,,Hillary Clinton,D,IL,63,30
50,,,Bernie Sanders,D,IL,36,70
51,,1521,total,D,IL,61,39
52,,,Other/No Answer,R,MA,1,
53,27,,Marco Rubio,R,MA,14,
54,1,,No Preference,R,MA,0,
55,17,,John Kasich,R,MA,18,
56,9,,Ted Cruz,R,MA,10,
57,2,,Ben Carson,R,MA,3,
58,1,,Jeb Bush,R,MA,1,
59,43,,Donald Trump,R,MA,53,
60,33,801,total,R,MA,67,
61,46,,Hillary Clinton,D,MA,54,
62,0,,No Preference,D,MA,1,
63,54,,Bernie Sanders,D,MA,45,
64,43,1406,total,D,MA,57,
