id,25 to 29,count,50 to 64,name,party,40 to 49,65 and older,state,18 to 24,30 to 39,17 to 24
1,,,,Other/No Answer,R,,,AL,,2,
2,,,14,Marco Rubio,R,18,19,AL,,26,
3,,,6,John Kasich,R,2,3,AL,,9,
4,,,1,Uncommitted,R,1,1,AL,,1,
5,,,18,Ted Cruz,R,20,24,AL,,25,
6,,,8,Ben Carson,R,12,9,AL,,10,
7,,,1,Jeb Bush,R,,1,AL,,,
8,,,52,Donald Trump,R,48,44,AL,,27,
9,5,1237,32,total,R,19,23,AL,8,13,
10,,,1,Other/No Answer,D,1,1,AL,,,
11,,,83,Hillary Clinton,D,78,85,AL,,76,
12,,,2,Uncommitted,D,3,1,AL,,1,
13,,,14,Bernie Sanders,D,18,13,AL,,23,
14,7,865,29,total,D,19,22,AL,7,17,
15,,,1,Other/No Answer,R,1,1,AR,,4,
16,,,24,Marco Rubio,R,23,32,AR,,21,
17,,,6,John Kasich,R,2,3,AR,,6,
18,,,31,Ted Cruz,R,31,27,AR,,26,
19,,,4,Ben Carson,R,6,5,AR,,2,
20,,,0,Jeb Bush,R,1,1,AR,,,
21,,,34,Donald Trump,R,36,31,AR,,41,
22,4,1382,34,total,R,15,32,AR,5,10,
23,,,,Other/No Answer,D,7,3,AR,,2,
24,,,82,Hillary Clinton,D,61,81,AR,,57,
25,,,18,Bernie Sanders,D,32,16,AR,,41,
26,7,944,32,total,D,15,24,AR,10,13,
27,,,4,Other/No Answer,R,1,2,FL,,,
28,,,25,Marco Rubio,R,29,26,FL,,31,
29,,,5,John Kasich,R,3,11,FL,,7,
30,,,19,Ted Cruz,R,17,14,FL,,15,
31,,,1,Ben Carson,R,0,1,FL,,2,
32,,,46,Donald Trump,R,50,46,FL,,45,
33,5,1907,37,total,R,16,29,FL,4,9,
34,3,,2,Other/No Answer,D,1,5,FL,,,
35,36,,76,Hillary Clinton,D,67,70,FL,34,59,
36,61,,22,Bernie Sanders,D,32,25,FL,66,41,
37,7,1659,29,total,D,17,25,FL,9,13,
38,,,,Other/No Answer,R,1,,GA,,1,
39,,,22,Marco Rubio,R,23,27,GA,,30,
40,,,6,John Kasich,R,4,10,GA,,2,
41,,,25,Ted Cruz,R,21,18,GA,,27,
42,,,6,Ben Carson,R,7,2,GA,,9,
43,,,1,Jeb Bush,R,1,0,GA,,,
44,,,40,Donald Trump,R,43,43,GA,,31,
45,5,1704,36,total,R,21,22,GA,5,11,
46,,,1,Other/No Answer,D,,1,GA,1,1,
47,,,80,Hillary Clinton,D,77,80,GA,38,61,
48,,,19,Bernie Sanders,D,23,19,GA,61,38,
49,6,1491,37,total,D,19,16,GA,7,14,
