id,yes:count,no:count,count,yes,party,no,state,name
1,0,7,7,0,R,1,AL,Other/No Answer
2,125,104,229,23,R,15,AL,Marco Rubio
3,38,14,52,7,R,2,AL,John Kasich
4,5,7,12,1,R,1,AL,Uncommitted
5,120,146,266,22,R,21,AL,Ted Cruz
6,65,62,127,12,R,9,AL,Ben Carson
7,5,0,5,1,R,0,AL,Jeb Bush
8,190,353,543,35,R,51,AL,Donald Trump
9,544,693,1237,44,R,56,AL,total
10,4,4,8,1,D,1,AL,Other/No Answer
11,335,335,670,76,D,79,AL,Hillary Clinton
12,4,13,17,1,D,3,AL,Uncommitted
13,97,72,169,22,D,17,AL,Bernie Sanders
14,441,424,865,51,D,49,AL,total
15,6,15,21,1,R,2,AR,Other/No Answer
16,193,160,353,31,R,21,AR,Marco Rubio
17,37,15,52,6,R,2,AR,John Kasich
18,174,236,410,28,R,31,AR,Ted Cruz
19,31,30,61,5,R,4,AR,Ben Carson
20,6,8,14,1,R,1,AR,Jeb Bush
21,174,296,470,28,R,39,AR,Donald Trump
22,622,760,1382,45,R,55,AR,total
23,8,11,19,2,D,2,AR,Other/No Answer
24,290,360,650,70,D,68,AR,Hillary Clinton
25,116,159,275,28,D,30,AR,Bernie Sanders
26,415,529,944,44,D,56,AR,total
27,30,18,48,3,R,2,FL,Other/No Answer
28,283,233,516,28,R,26,FL,Marco Rubio
29,91,45,136,9,R,5,FL,John Kasich
30,182,134,316,18,R,15,FL,Ted Cruz
31,0,9,9,0,R,1,FL,Ben Carson
32,425,457,882,42,R,51,FL,Donald Trump
33,1011,896,1907,53,R,47,FL,total
34,8,26,34,1,D,3,FL,Other/No Answer
35,509,552,1061,64,D,64,FL,Hillary Clinton
36,279,285,564,35,D,33,FL,Bernie Sanders
37,796,863,1659,48,D,52,FL,total
38,262,160,422,29,R,20,GA,Marco Rubio
39,54,40,94,6,R,5,GA,John Kasich
40,217,176,393,24,R,22,GA,Ted Cruz
41,54,48,102,6,R,6,GA,Ben Carson
42,9,8,17,1,R,1,GA,Jeb Bush
43,307,368,675,34,R,46,GA,Donald Trump
44,903,801,1704,53,R,47,GA,total
45,572,501,1073,71,D,73,GA,Hillary Clinton
46,233,185,418,29,D,27,GA,Bernie Sanders
47,805,686,1491,54,D,46,GA,total
48,19,0,19,3,R,0,IL,Other/No Answer
49,63,48,111,10,R,8,IL,Marco Rubio
50,157,85,242,25,R,14,IL,John Kasich
51,189,187,376,30,R,31,IL,Ted Cruz
52,6,6,12,1,R,1,IL,Ben Carson
53,195,278,473,31,R,46,IL,Donald Trump
54,629,604,1233,51,R,49,IL,total
55,8,7,15,1,D,1,IL,Other/No Answer
56,395,379,774,49,D,53,IL,Hillary Clinton
57,403,329,732,50,D,46,IL,Bernie Sanders
58,806,715,1521,53,D,47,IL,total
59,5,10,15,1,R,3,MA,Other/No Answer
60,96,45,141,20,R,14,MA,Marco Rubio
61,5,0,5,1,R,0,MA,No Preference
62,115,32,147,24,R,10,MA,John Kasich
63,48,26,74,10,R,8,MA,Ted Cruz
64,14,6,20,3,R,2,MA,Ben Carson
65,5,3,8,1,R,1,MA,Jeb Bush
66,192,198,390,40,R,62,MA,Donald Trump
67,481,320,801,60,R,40,MA,total
68,509,190,699,54,D,41,MA,Hillary Clinton
69,9,0,9,1,D,0,MA,No Preference
70,424,274,698,45,D,59,MA,Bernie Sanders
71,942,464,1406,67,D,33,MA,total
72,0,7,7,0,R,1,MI,Other/No Answer
73,88,43,131,14,R,6,MI,Marco Rubio
74,189,135,324,30,R,19,MI,John Kasich
75,13,7,20,2,R,1,MI,Uncommitted
76,158,178,336,25,R,25,MI,Ted Cruz
77,13,14,27,2,R,2,MI,Ben Carson
78,170,327,497,27,R,46,MI,Donald Trump
79,630,711,1341,47,R,53,MI,total
80,353,424,777,48,D,49,MI,Hillary Clinton
81,22,9,31,3,D,1,MI,Uncommitted
82,361,432,793,49,D,50,MI,Bernie Sanders
83,736,865,1601,46,D,54,MI,total
84,6,7,13,1,R,1,MS,Other/No Answer
85,40,29,69,7,R,4,MS,Marco Rubio
86,56,43,99,10,R,6,MS,John Kasich
87,192,281,473,34,R,39,MS,Ted Cruz
88,11,7,18,2,R,1,MS,Ben Carson
89,260,353,613,46,R,49,MS,Donald Trump
90,565,720,1285,44,R,56,MS,total
91,4,0,4,1,D,0,MS,Other/No Answer
92,348,521,869,78,D,88,MS,Hillary Clinton
93,94,71,165,21,D,12,MS,Bernie Sanders
94,446,592,1038,43,D,57,MS,total
95,6,0,6,1,R,0,MO,Other/No Answer
96,50,29,79,8,R,4,MO,Marco Rubio
97,100,44,144,16,R,6,MO,John Kasich
98,0,7,7,0,R,1,MO,Uncommitted
99,263,302,565,42,R,41,MO,Ted Cruz
100,6,7,13,1,R,1,MO,Ben Carson
101,201,346,547,32,R,47,MO,Donald Trump
102,627,736,1363,46,R,54,MO,total
103,291,286,577,48,D,51,MO,Hillary Clinton
104,0,6,6,0,D,1,MO,Uncommitted
105,316,269,585,52,D,48,MO,Bernie Sanders
106,607,561,1168,52,D,48,MO,total
107,11,0,11,1,R,0,NH,Other/No Answer
108,0,0,0,0,R,0,NH,Mike Huckabee
109,205,115,320,19,R,12,NH,John Kasich
110,129,86,215,12,R,9,NH,Jeb Bush
111,22,29,51,2,R,3,NH,Ben Carson
112,11,10,21,1,R,1,NH,Rand Paul
113,86,67,153,8,R,7,NH,Chris Christie
114,129,96,225,12,R,10,NH,Marco Rubio
115,119,124,243,11,R,13,NH,Ted Cruz
116,0,0,0,0,R,0,NH,Rick Santorum
117,43,29,72,4,R,3,NH,Carly Fiorina
118,324,402,726,30,R,42,NH,Donald Trump
119,1079,957,2036,53,R,47,NH,total
120,13,9,22,1,D,1,NH,Other/No Answer
121,573,276,849,43,D,31,NH,Hillary Clinton
122,0,9,9,0,D,1,NH,Martin O'Malley
