id,yes:count,no:count,count,yes,party,no,state,name
1,10,0,10,1,R,0,AL,Other/No Answer
2,171,66,237,18,R,23,AL,Marco Rubio
3,29,31,60,3,R,11,AL,John Kasich
4,10,3,13,1,R,1,AL,Uncommitted
5,209,51,260,22,R,18,AL,Ted Cruz
6,105,20,125,11,R,7,AL,Ben Carson
7,10,0,10,1,R,0,AL,Jeb Bush
8,409,117,526,43,R,41,AL,Donald Trump
9,952,285,1237,77,R,23,AL,total
10,11,6,17,1,R,2,AR,Other/No Answer
11,259,91,350,24,R,30,AR,Marco Rubio
12,22,33,55,2,R,11,AR,John Kasich
13,356,55,411,33,R,18,AR,Ted Cruz
14,65,6,71,6,R,2,AR,Ben Carson
15,11,0,11,1,R,0,AR,Jeb Bush
16,356,112,468,33,R,37,AR,Donald Trump
17,1078,304,1382,78,R,22,AR,total
18,18,30,48,2,R,3,FL,Other/No Answer
19,220,288,508,24,R,29,FL,Marco Rubio
20,55,69,124,6,R,7,FL,John Kasich
21,192,129,321,21,R,13,FL,Ted Cruz
22,9,0,9,1,R,0,FL,Ben Carson
23,421,476,897,46,R,48,FL,Donald Trump
24,915,992,1907,48,R,52,FL,total
25,12,0,12,1,R,0,GA,Other/No Answer
26,270,148,418,23,R,28,GA,Marco Rubio
27,47,48,95,4,R,9,GA,John Kasich
28,306,90,396,26,R,17,GA,Ted Cruz
29,71,26,97,6,R,5,GA,Ben Carson
30,12,0,12,1,R,0,GA,Jeb Bush
31,459,216,675,39,R,41,GA,Donald Trump
32,1176,528,1704,69,R,31,GA,total
33,11,7,18,2,R,1,IL,Other/No Answer
34,33,61,94,6,R,9,IL,Marco Rubio
35,105,142,247,19,R,21,IL,John Kasich
36,205,183,388,37,R,27,IL,Ted Cruz
37,6,7,13,1,R,1,IL,Ben Carson
38,194,278,472,35,R,41,IL,Donald Trump
39,555,678,1233,45,R,55,IL,total
40,0,6,6,0,R,1,MI,Other/No Answer
41,65,62,127,9,R,10,MI,Marco Rubio
42,138,185,323,19,R,30,MI,John Kasich
43,14,6,20,2,R,1,MI,Uncommitted
44,232,105,337,32,R,17,MI,Ted Cruz
45,14,12,26,2,R,2,MI,Ben Carson
46,268,241,509,37,R,39,MI,Donald Trump
47,724,617,1341,54,R,46,MI,total
48,11,0,11,1,R,0,MS,Other/No Answer
49,43,23,66,4,R,11,MS,Marco Rubio
50,65,29,94,6,R,14,MS,John Kasich
51,421,49,470,39,R,24,MS,Ted Cruz
52,22,2,24,2,R,1,MS,Ben Carson
53,518,103,621,48,R,50,MS,Donald Trump
54,1079,206,1285,84,R,16,MS,total
55,8,0,8,1,R,0,MO,Other/No Answer
56,33,49,82,4,R,9,MO,Marco Rubio
57,49,87,136,6,R,16,MO,John Kasich
58,0,5,5,0,R,1,MO,Uncommitted
59,425,147,572,52,R,27,MO,Ted Cruz
60,8,5,13,1,R,1,MO,Ben Carson
61,294,251,545,36,R,46,MO,Donald Trump
62,818,545,1363,60,R,40,MO,total
