id,non to whites no degree,count,non to whites college grads:count,state,non to whites college grads,white college graduates:count,whites no degree,party,white college graduates,non to whites no degree:count,name,whites no degree:count
1,0,6,0,AL,0,0,1,R,0,0,Other/No Answer,6
2,0,207,0,AL,0,117,14,R,23,0,Marco Rubio,90
3,0,54,0,AL,0,35,3,R,7,0,John Kasich,19
4,0,11,0,AL,0,5,1,R,1,0,Uncommitted,6
5,0,253,0,AL,0,112,22,R,22,0,Ted Cruz,141
6,0,119,0,AL,0,61,9,R,12,0,Ben Carson,58
7,0,0,0,AL,0,0,0,R,0,0,Jeb Bush,0
8,0,499,0,AL,0,177,50,R,35,0,Donald Trump,322
9,3,1237,49,AL,4,507,52,R,41,37,total,643
10,1,3,0,AL,0,0,0,D,0,3,Other/No Answer,0
11,91,620,200,AL,89,144,0,D,64,276,Hillary Clinton,0
12,2,10,2,AL,1,2,0,D,1,6,Uncommitted,0
13,6,119,22,AL,10,79,0,D,35,18,Bernie Sanders,0
14,35,865,225,AL,26,225,14,D,26,303,total,121
15,0,22,0,AR,0,0,3,R,0,0,Other/No Answer,22
16,0,344,0,AR,0,190,21,R,32,0,Marco Rubio,154
17,0,57,0,AR,0,42,2,R,7,0,John Kasich,15
18,0,393,0,AR,0,166,31,R,28,0,Ted Cruz,227
19,0,59,0,AR,0,30,4,R,5,0,Ben Carson,29
20,0,6,0,AR,0,6,0,R,1,0,Jeb Bush,0
21,0,445,0,AR,0,160,39,R,27,0,Donald Trump,285
22,2,1382,41,AR,3,594,53,R,43,28,total,732
23,1,21,0,AR,0,9,3,D,3,2,Other/No Answer,10
24,83,652,84,AR,81,206,59,D,66,173,Hillary Clinton,189
25,16,272,20,AR,19,97,38,D,31,33,Bernie Sanders,122
26,22,944,104,AR,11,312,34,D,33,208,total,321
27,6,32,22,FL,9,0,0,R,0,10,Other/No Answer,0
28,46,530,112,FL,45,175,22,R,23,79,Marco Rubio,164
29,2,139,15,FL,6,76,6,R,10,3,John Kasich,45
30,13,320,42,FL,17,137,16,R,18,22,Ted Cruz,119
31,0,23,0,FL,0,8,2,R,1,0,Ben Carson,15
32,33,882,57,FL,23,366,54,R,48,57,Donald Trump,402
33,9,1907,248,FL,13,763,39,R,40,172,total,744
34,0,32,4,FL,1,12,4,D,3,0,Other/No Answer,16
35,78,1049,264,FL,69,227,49,D,57,363,Hillary Clinton,195
36,22,563,115,FL,30,159,47,D,40,102,Bernie Sanders,187
37,28,1659,382,FL,23,398,24,D,24,465,total,398
38,0,363,0,GA,0,220,20,R,28,0,Marco Rubio,143
39,0,91,0,GA,0,55,5,R,7,0,John Kasich,36
40,0,346,0,GA,0,188,22,R,24,0,Ted Cruz,158
41,0,75,0,GA,0,39,5,R,5,0,Ben Carson,36
42,0,15,0,GA,0,8,1,R,1,0,Jeb Bush,7
43,0,611,0,GA,0,274,47,R,35,0,Donald Trump,337
44,5,1704,119,GA,7,784,42,R,46,85,total,716
45,0,10,4,GA,1,4,1,D,1,0,Other/No Answer,2
46,80,1071,350,GA,81,220,55,D,59,394,Hillary Clinton,107
47,20,410,78,GA,18,149,44,D,40,98,Bernie Sanders,85
48,33,1491,432,GA,29,373,13,D,25,492,total,194
49,0,17,0,IL,0,17,0,R,3,0,Other/No Answer,0
50,0,102,0,IL,0,58,8,R,10,0,Marco Rubio,44
51,0,223,0,IL,0,145,14,R,25,0,John Kasich,78
52,0,352,0,IL,0,180,31,R,31,0,Ted Cruz,172
53,0,0,0,IL,0,0,0,R,0,0,Ben Carson,0
54,0,441,0,IL,0,180,47,R,31,0,Donald Trump,261
55,4,1233,49,IL,4,580,45,R,47,49,total,555
56,1,16,3,IL,1,5,1,D,1,4,Other/No Answer,4
57,64,771,173,IL,63,217,43,D,42,224,Hillary Clinton,157
58,35,721,99,IL,36,295,56,D,57,123,Bernie Sanders,204
59,23,1521,274,IL,18,517,24,D,34,350,total,365
60,0,6,0,MA,0,0,2,R,0,0,Other/No Answer,6
61,0,131,0,MA,0,94,13,R,21,0,Marco Rubio,37
62,0,4,0,MA,0,4,0,R,1,0,No Preference,0
63,0,137,0,MA,0,108,10,R,24,0,John Kasich,29
64,0,66,0,MA,0,40,9,R,9,0,Ted Cruz,26
