id,count,college graduate,some college,name,high school or less,party,postgraduate,state
1,,,,Other/No Answer,1,R,,AL
2,,20,18,Marco Rubio,10,R,28,AL
3,,7,3,John Kasich,2,R,8,AL
4,,1,2,Uncommitted,1,R,1,AL
5,,22,20,Ted Cruz,22,R,20,AL
6,,10,9,Ben Carson,9,R,16,AL
7,,1,0,Jeb Bush,0,R,0,AL
8,,39,48,Donald Trump,55,R,28,AL
9,1237,29,36,total,19,R,15,AL
10,,1,1,Other/No Answer,,D,,AL
11,,75,75,Hillary Clinton,85,D,78,AL
12,,0,2,Uncommitted,4,D,2,AL
13,,24,22,Bernie Sanders,11,D,20,AL
14,865,27,28,total,21,D,24,AL
15,,,2,Other/No Answer,3,R,2,AR
16,,29,19,Marco Rubio,24,R,35,AR
17,,6,2,John Kasich,1,R,7,AR
18,,28,30,Ted Cruz,33,R,27,AR
19,,6,5,Ben Carson,3,R,4,AR
20,,1,0,Jeb Bush,1,R,0,AR
21,,30,42,Donald Trump,35,R,25,AR
22,1382,28,33,total,22,R,17,AR
23,,3,,Other/No Answer,3,D,2,AR
24,,63,64,Hillary Clinton,72,D,76,AR
25,,34,36,Bernie Sanders,25,D,22,AR
26,944,23,25,total,30,D,21,AR
27,,1,,Other/No Answer,4,R,4,FL
28,,26,25,Marco Rubio,26,R,34,FL
29,,8,4,John Kasich,7,R,10,FL
30,,19,15,Ted Cruz,17,R,16,FL
31,,0,2,Ben Carson,0,R,1,FL
32,,46,54,Donald Trump,46,R,35,FL
33,1907,35,31,total,17,R,17,FL
34,,3,3,Other/No Answer,3,D,,FL
35,,63,62,Hillary Clinton,68,D,64,FL
36,,34,35,Bernie Sanders,29,D,36,FL
37,1659,32,33,total,19,D,16,FL
38,,28,23,Marco Rubio,15,R,32,GA
39,,6,6,John Kasich,4,R,7,GA
40,,24,23,Ted Cruz,21,R,23,GA
41,,6,6,Ben Carson,5,R,7,GA
42,,1,1,Jeb Bush,1,R,1,GA
43,,35,42,Donald Trump,54,R,30,GA
44,1704,36,32,total,15,R,17,GA
45,,1,1,Other/No Answer,,D,,GA
46,,71,69,Hillary Clinton,80,D,70,GA
47,,28,30,Bernie Sanders,20,D,30,GA
48,1491,33,31,total,15,D,22,GA
49,,3,1,Other/No Answer,,R,3,IL
50,,9,8,Marco Rubio,6,R,11,IL
51,,22,16,John Kasich,11,R,32,IL
52,,29,32,Ted Cruz,28,R,32,IL
