id,veterans,non to veterans,count,name,party,state
1,1,2,,Other/No Answer,R,AL
2,15,20,,Marco Rubio,R,AL
3,4,4,,John Kasich,R,AL
4,,1,,Uncommitted,R,AL
5,20,23,,Ted Cruz,R,AL
6,7,10,,Ben Carson,R,AL
7,0,0,,Jeb Bush,R,AL
8,53,40,,Donald Trump,R,AL
9,21,79,1237,total,R,AL
10,1,2,,Other/No Answer,R,AR
11,29,25,,Marco Rubio,R,AR
12,4,4,,John Kasich,R,AR
13,24,31,,Ted Cruz,R,AR
14,2,5,,Ben Carson,R,AR
15,1,0,,Jeb Bush,R,AR
16,39,33,,Donald Trump,R,AR
17,18,82,1382,total,R,AR
18,,1,,Other/No Answer,R,GA
19,19,26,,Marco Rubio,R,GA
20,9,5,,John Kasich,R,GA
21,19,24,,Ted Cruz,R,GA
22,8,5,,Ben Carson,R,GA
23,1,0,,Jeb Bush,R,GA
24,45,39,,Donald Trump,R,GA
25,17,83,1704,total,R,GA
26,3,,,Other/No Answer,R,MA
27,15,18,,Marco Rubio,R,MA
28,,1,,No Preference,R,MA
29,14,19,,John Kasich,R,MA
30,13,9,,Ted Cruz,R,MA
31,2,3,,Ben Carson,R,MA
32,3,1,,Jeb Bush,R,MA
33,50,49,,Donald Trump,R,MA
34,18,82,801,total,R,MA
35,1,2,,Other/No Answer,R,NC
36,7,7,,Marco Rubio,R,NC
37,,1,,No Preference,R,NC
38,10,13,,John Kasich,R,NC
39,31,39,,Ted Cruz,R,NC
40,0,1,,Ben Carson,R,NC
41,51,37,,Donald Trump,R,NC
42,15,85,1800,total,R,NC
43,2,2,,Other/No Answer,R,OK
44,25,27,,Marco Rubio,R,OK
45,3,4,,John Kasich,R,OK
46,24,35,,Ted Cruz,R,OK
47,7,6,,Ben Carson,R,OK
48,0,0,,Jeb Bush,R,OK
49,39,26,,Donald Trump,R,OK
50,18,82,938,total,R,OK
51,2,,,Other/No Answer,R,SC
52,23,21,,Marco Rubio,R,SC
53,7,9,,John Kasich,R,SC
54,21,24,,Ted Cruz,R,SC
55,4,7,,Ben Carson,R,SC
56,8,8,,Jeb Bush,R,SC
57,35,31,,Donald Trump,R,SC
58,17,83,2043,total,R,SC
59,,2,,Other/No Answer,R,TN
60,12,23,,Marco Rubio,R,TN
61,6,5,,John Kasich,R,TN
62,0,0,,Uncommitted,R,TN
63,30,23,,Ted Cruz,R,TN
64,10,5,,Ben Carson,R,TN
65,3,1,,Jeb Bush,R,TN
66,39,41,,Donald Trump,R,TN
67,19,81,1435,total,R,TN
68,4,1,,Other/No Answer,R,VT
69,13,21,,Marco Rubio,R,VT
70,32,31,,John Kasich,R,VT
71,12,9,,Ted Cruz,R,VT
72,3,4,,Ben Carson,R,VT
73,1,2,,Jeb Bush,R,VT
74,35,32,,Donald Trump,R,VT
75,17,83,536,total,R,VT
76,,2,,Other/No Answer,R,VA
77,27,33,,Marco Rubio,R,VA
78,9,9,,John Kasich,R,VA
79,15,16,,Ted Cruz,R,VA
80,5,6,,Ben Carson,R,VA
81,2,0,,Jeb Bush,R,VA
82,42,34,,Donald Trump,R,VA
83,23,77,1523,total,R,VA
