id,falling behind,holding steady,count,party,holding steady:count,state,getting ahead:count,falling behind:count,name,getting ahead
1,0,1,7,R,7,IL,0,0,Other/No Answer,0
2,9,8,96,R,59,IL,19,18,Marco Rubio,7
3,17,18,239,R,133,IL,73,33,John Kasich,27
4,28,33,375,R,244,IL,76,55,Ted Cruz,28
5,0,2,15,R,15,IL,0,0,Ben Carson,0
6,46,38,475,R,281,IL,103,91,Donald Trump,38
7,16,60,1233,R,740,IL,271,197,total,22
8,37,45,765,D,495,WI,152,118,Hillary Clinton,45
9,63,55,991,D,605,WI,185,201,Bernie Sanders,55
10,0,0,0,D,0,WI,0,0,Uninstructed,0
11,18,62,1774,D,1100,WI,337,319,total,19
