id,moderate/conservative:count,count,party,liberal,liberal:count,state,moderate/conservative,name
1,31,31,D,0,0,FL,4,Other/No Answer
2,534,1063,D,59,529,FL,70,Hillary Clinton
3,198,565,D,41,367,FL,26,Bernie Sanders
4,763,1659,D,54,896,FL,46,total
5,5,5,D,0,0,IL,1,Other/No Answer
6,307,774,D,48,467,IL,56,Hillary Clinton
7,236,742,D,52,506,IL,43,Bernie Sanders
8,548,1521,D,64,973,IL,36,total
9,7,7,D,0,0,MI,1,Other/No Answer
10,358,778,D,46,420,MI,52,Hillary Clinton
11,28,28,D,0,0,MI,4,Uncommitted
12,296,789,D,54,493,MI,43,Bernie Sanders
13,688,1601,D,57,913,MI,43,total
14,0,8,D,1,8,MO,0,Other/No Answer
15,218,573,D,46,355,MO,55,Hillary Clinton
16,4,4,D,0,0,MO,1,Uncommitted
17,175,584,D,53,409,MO,44,Bernie Sanders
18,397,1168,D,66,771,MO,34,total
19,312,789,D,52,477,NY,66,Hillary Clinton
20,161,602,D,48,441,NY,34,Bernie Sanders
21,473,1391,D,66,918,NY,34,total
22,16,16,D,0,0,NC,2,Other/No Answer
23,476,1020,D,52,544,NC,58,Hillary Clinton
24,41,51,D,1,10,NC,5,No Preference
25,287,779,D,47,492,NC,35,Bernie Sanders
26,821,1867,D,56,1046,NC,44,total
27,14,24,D,1,10,OH,2,Other/No Answer
28,448,979,D,51,531,OH,62,Hillary Clinton
29,260,760,D,48,500,OH,36,Bernie Sanders
30,723,1764,D,59,1041,OH,41,total
31,0,12,D,1,12,WI,0,Other/No Answer
32,287,763,D,40,476,WI,49,Hillary Clinton
33,298,1000,D,59,702,WI,51,Bernie Sanders
34,0,0,D,0,0,WI,0,Uninstructed
35,585,1774,D,67,1189,WI,33,total
