id,count,somewhat liberal,state,very liberal,very liberal:count,name,conservative:count,party,moderate:count,moderate,conservative,somewhat liberal:count
1,39,1,FL,0,0,Other/No Answer,15,D,18,3,10,6
2,1063,62,FL,54,179,Hillary Clinton,98,D,436,71,66,350
3,558,37,FL,46,153,Bernie Sanders,36,D,160,26,24,209
4,1659,34,FL,20,332,total,149,D,614,37,9,564
5,13,0,IL,1,4,Other/No Answer,0,D,9,2,0,0
6,736,49,IL,47,207,Hillary Clinton,0,D,260,57,0,269
7,695,51,IL,52,229,Bernie Sanders,0,D,187,41,0,279
8,1521,36,IL,29,441,total,76,D,456,30,5,548
9,708,49,MI,41,144,Hillary Clinton,0,D,290,55,0,274
10,5,0,MI,0,0,Uncommitted,0,D,5,1,0,0
11,726,51,MI,59,208,Bernie Sanders,0,D,232,44,0,286
12,1601,35,MI,22,352,total,144,D,528,33,9,560
13,562,52,MO,39,128,Hillary Clinton,0,D,197,58,0,237
14,8,1,MO,0,0,Uncommitted,0,D,3,1,0,5
15,557,48,MO,61,199,Bernie Sanders,0,D,139,41,0,219
16,1168,39,MO,28,327,total,47,D,339,29,4,456
17,751,59,NY,44,177,Hillary Clinton,0,D,270,67,0,304
18,570,41,NY,56,226,Bernie Sanders,0,D,133,33,0,211
19,1391,37,NY,29,403,total,70,D,403,29,5,515
20,27,1,NC,0,0,Other/No Answer,8,D,13,2,5,6
21,1013,53,NC,50,242,Hillary Clinton,89,D,385,59,53,297
22,43,1,NC,0,0,No Preference,17,D,20,3,10,6
23,783,45,NC,50,242,Bernie Sanders,54,D,235,36,32,252
24,1867,30,NC,26,485,total,168,D,653,35,9,560
25,17,1,OH,0,0,Other/No Answer,5,D,6,1,4,6
26,981,53,OH,48,195,Hillary Clinton,71,D,378,63,58,337
27,766,46,OH,52,211,Bernie Sanders,47,D,216,36,38,292
28,1764,36,OH,23,406,total,123,D,600,34,7,635
29,733,42,WI,38,169,Hillary Clinton,0,D,244,49,0,320
30,971,58,WI,62,275,Bernie Sanders,0,D,253,51,0,443
31,0,0,WI,0,0,Uninstructed,0,D,0,0,0,0
32,1774,43,WI,25,444,total,71,D,497,28,4,763
