id,count,name,party,18 to 29,state,60+,30 to 59
1,,Other/No Answer,R,2,FL,4,1
2,,Marco Rubio,R,34,FL,26,27
3,,John Kasich,R,7,FL,9,5
4,,Ted Cruz,R,20,FL,14,19
5,,Ben Carson,R,1,FL,1,1
6,,Donald Trump,R,36,FL,46,47
7,1907,total,R,9,FL,39,52
8,,Other/No Answer,R,1,MO,1,2
9,,Marco Rubio,R,6,MO,5,6
10,,John Kasich,R,5,MO,12,10
11,,Uncommitted,R,0,MO,0,0
12,,Ted Cruz,R,48,MO,34,44
13,,Ben Carson,R,1,MO,1,1
14,,Donald Trump,R,39,MO,47,37
15,1363,total,R,13,MO,36,52
16,,Other/No Answer,R,2,OH,,1
17,,Marco Rubio,R,9,OH,2,2
18,,John Kasich,R,48,OH,49,45
19,,Ted Cruz,R,17,OH,10,14
20,,Ben Carson,R,0,OH,1,1
21,,Donald Trump,R,24,OH,38,37
22,2363,total,R,12,OH,33,55
