id,$50k or more:count,$50k or more,count,party,state,under $50k:count,name,under $50k
1,7,1,7,R,AL,0,Other/No Answer,0
2,139,19,230,R,AL,91,Marco Rubio,18
3,44,6,69,R,AL,25,John Kasich,5
4,0,0,10,R,AL,10,Uncommitted,2
5,168,23,249,R,AL,81,Ted Cruz,16
6,58,8,124,R,AL,66,Ben Carson,13
7,0,0,0,R,AL,0,Jeb Bush,0
8,314,43,547,R,AL,233,Donald Trump,46
9,730,59,1237,R,AL,507,total,41
10,296,76,677,D,AL,381,Hillary Clinton,80
11,4,1,18,D,AL,14,Uncommitted,3
12,89,23,170,D,AL,81,Bernie Sanders,17
13,389,45,865,D,AL,476,total,55
14,9,1,28,R,AR,19,Other/No Answer,4
15,233,26,344,R,AR,111,Marco Rubio,23
16,36,4,51,R,AR,15,John Kasich,3
17,269,30,400,R,AR,131,Ted Cruz,27
18,54,6,73,R,AR,19,Ben Carson,4
19,9,1,14,R,AR,5,Jeb Bush,1
20,287,32,471,R,AR,184,Donald Trump,38
21,898,65,1382,R,AR,484,total,35
22,9,2,19,D,AR,10,Other/No Answer,2
23,319,69,651,D,AR,332,Hillary Clinton,69
24,134,29,273,D,AR,139,Bernie Sanders,29
25,463,49,944,D,AR,481,total,51
26,26,2,45,R,FL,19,Other/No Answer,3
27,371,29,535,R,FL,164,Marco Rubio,26
28,102,8,133,R,FL,31,John Kasich,5
29,192,15,293,R,FL,101,Ted Cruz,16
30,0,0,13,R,FL,13,Ben Carson,2
31,588,46,890,R,FL,302,Donald Trump,48
32,1278,67,1907,R,FL,629,total,33
33,25,3,33,D,FL,8,Other/No Answer,1
34,540,65,1080,D,FL,540,Hillary Clinton,65
35,266,32,548,D,FL,282,Bernie Sanders,34
36,830,50,1659,D,FL,830,total,50
37,353,28,446,R,GA,93,Marco Rubio,21
38,88,7,101,R,GA,13,John Kasich,3
39,315,25,386,R,GA,71,Ted Cruz,16
40,63,5,107,R,GA,44,Ben Carson,10
41,13,1,17,R,GA,4,Jeb Bush,1
42,441,35,658,R,GA,217,Donald Trump,49
43,1261,74,1704,R,GA,443,total,26
44,0,0,6,D,GA,6,Other/No Answer,1
45,612,72,1061,D,GA,449,Hillary Clinton,70
46,238,28,424,D,GA,186,Bernie Sanders,29
47,850,57,1491,D,GA,641,total,43
48,28,3,28,R,IL,0,Other/No Answer,0
49,76,8,96,R,IL,20,Marco Rubio,7
50,209,22,246,R,IL,37,John Kasich,13
51,275,29,372,R,IL,97,Ted Cruz,34
52,9,1,9,R,IL,0,Ben Carson,0
53,351,37,482,R,IL,131,Donald Trump,46
54,949,77,1233,R,IL,284,total,23
55,9,1,9,D,IL,0,Other/No Answer,0
56,453,48,777,D,IL,324,Hillary Clinton,56
57,481,51,735,D,IL,254,Bernie Sanders,44
58,943,62,1521,D,IL,578,total,38
59,6,1,14,R,MA,8,Other/No Answer,5
60,115,18,145,R,MA,30,Marco Rubio,19
61,0,0,2,R,MA,2,No Preference,1
62,122,19,138,R,MA,16,John Kasich,10
63,58,9,76,R,MA,18,Ted Cruz,11
64,19,3,24,R,MA,5,Ben Carson,3
65,6,1,8,R,MA,2,Jeb Bush,1
66,314,49,394,R,MA,80,Donald Trump,50
67,641,80,801,R,MA,160,total,20
