id,less than $30k:count,$30k to 50k:count,count,state,less than $30k,$100k to 200k:count,$200k or more:count,$50k to 100k:count,$200k or more,$100k to 200k,$50k to 100k,party,$30k to 50k,name
1,0,0,4,AL,0,0,0,4,0,0,1,R,0,Other/No Answer
2,0,68,197,AL,0,49,0,80,0,21,19,R,21,Marco Rubio
3,0,16,45,AL,0,16,0,13,0,7,3,R,5,John Kasich
4,0,6,8,AL,0,2,0,0,0,1,0,R,2,Uncommitted
5,0,48,200,AL,0,38,0,114,0,16,27,R,15,Ted Cruz
6,0,42,95,AL,0,19,0,34,0,8,8,R,13,Ben Carson
7,0,0,4,AL,0,0,0,4,0,0,1,R,0,Jeb Bush
8,0,142,425,AL,0,110,0,173,0,47,41,R,44,Donald Trump
9,186,322,1237,AL,15,235,74,421,6,19,34,R,26,total
10,3,2,7,AL,1,0,0,2,0,0,1,D,1,Other/No Answer
11,225,147,622,AL,84,97,0,153,0,80,71,D,74,Hillary Clinton
12,8,6,17,AL,3,1,0,2,0,1,1,D,3,Uncommitted
13,32,44,157,AL,12,23,0,58,0,19,27,D,22,Bernie Sanders
14,268,199,865,AL,31,121,43,216,5,14,25,D,23,total
15,0,2,12,AR,0,0,0,10,0,0,2,R,1,Other/No Answer
16,0,67,279,AR,0,86,0,126,0,26,26,R,27,Marco Rubio
17,0,2,34,AR,0,3,0,29,0,1,6,R,1,John Kasich
18,0,80,338,AR,0,93,0,165,0,28,34,R,32,Ted Cruz
19,0,5,51,AR,0,27,0,19,0,8,4,R,2,Ben Carson
20,0,0,5,AR,0,0,0,5,0,0,1,R,0,Jeb Bush
21,0,92,346,AR,0,123,0,131,0,37,27,R,37,Donald Trump
22,221,249,1382,AR,16,332,97,484,7,24,35,R,18,total
23,6,6,17,AR,2,0,0,5,0,0,2,D,3,Other/No Answer
24,190,141,614,AR,67,101,0,182,0,67,69,D,71,Hillary Clinton
25,88,51,266,AR,31,50,0,77,0,33,29,D,26,Bernie Sanders
26,283,198,944,AR,30,151,47,264,5,16,28,D,21,total
27,0,11,21,FL,0,10,0,0,0,2,0,R,3,Other/No Answer
28,0,76,406,FL,0,159,0,171,0,32,28,R,20,Marco Rubio
29,0,27,104,FL,0,40,0,37,0,8,6,R,7,John Kasich
30,0,46,229,FL,0,55,0,128,0,11,21,R,12,Ted Cruz
31,0,0,6,FL,0,0,0,6,0,0,1,R,0,Ben Carson
32,0,221,728,FL,0,233,0,274,0,47,45,R,58,Donald Trump
33,248,381,1907,FL,13,496,172,610,9,26,32,R,20,total
34,0,10,36,FL,0,21,0,5,0,8,1,D,2,Other/No Answer
35,230,308,1039,FL,66,151,0,350,0,57,68,D,64,Hillary Clinton
36,118,164,534,FL,34,93,0,159,0,35,31,D,34,Bernie Sanders
37,348,481,1659,FL,21,265,50,514,3,16,31,D,29,total
38,0,0,5,GA,0,5,0,0,0,1,0,R,0,Other/No Answer
39,0,74,370,GA,0,174,0,122,0,33,21,R,27,Marco Rubio
40,0,5,67,GA,0,21,0,41,0,4,7,R,2,John Kasich
41,0,41,323,GA,0,137,0,145,0,26,25,R,15,Ted Cruz
42,0,33,95,GA,0,21,0,41,0,4,7,R,12,Ben Carson
43,0,3,14,GA,0,5,0,6,0,1,1,R,1,Jeb Bush
44,0,117,507,GA,0,164,0,226,0,31,39,R,43,Donald Trump
45,170,273,1704,GA,10,528,170,579,10,31,34,R,16,total
46,3,3,11,GA,1,0,0,5,0,0,1,D,1,Other/No Answer
47,228,220,1005,GA,73,238,0,319,0,76,69,D,67,Hillary Clinton
48,81,105,400,GA,26,75,0,139,0,24,30,D,32,Bernie Sanders
49,313,328,1491,GA,21,313,75,462,5,21,31,D,22,total
50,0,0,20,IL,0,11,0,9,0,3,2,R,0,Other/No Answer
51,0,0,74,IL,0,27,0,47,0,7,10,R,0,Marco Rubio
52,0,0,160,IL,0,76,0,84,0,20,18,R,0,John Kasich
53,0,0,262,IL,0,103,0,159,0,27,34,R,0,Ted Cruz
54,0,0,13,IL,0,8,0,5,0,2,1,R,0,Ben Carson
55,0,0,321,IL,0,157,0,164,0,41,35,R,0,Donald Trump
56,136,148,1233,IL,11,382,99,469,8,31,38,R,12,total
57,0,0,3,IL,0,3,0,0,0,1,0,D,0,Other/No Answer
58,167,155,713,IL,61,164,0,227,0,49,44,D,51,Hillary Clinton
59,107,149,714,IL,39,168,0,290,0,50,56,D,49,Bernie Sanders
60,274,304,1521,IL,18,335,91,517,6,22,34,D,20,total
61,0,0,3,MA,0,0,0,3,0,0,1,R,0,Other/No Answer
62,0,0,102,MA,0,53,0,49,0,19,18,R,0,Marco Rubio
63,0,0,3,MA,0,0,0,3,0,0,1,R,0,No Preference
64,0,0,110,MA,0,64,0,46,0,23,17,R,0,John Kasich
65,0,0,46,MA,0,22,0,24,0,8,9,R,0,Ted Cruz
66,0,0,17,MA,0,6,0,11,0,2,4,R,0,Ben Carson
67,0,0,6,MA,0,3,0,3,0,1,1,R,0,Jeb Bush
68,0,0,265,MA,0,132,0,133,0,47,49,R,0,Donald Trump
69,64,96,801,MA,8,280,88,272,11,35,34,R,12,total
70,4,0,4,MA,2,0,0,0,0,0,0,D,0,Other/No Answer
71,86,101,641,MA,47,241,0,213,0,57,46,D,40,Hillary Clinton
72,2,0,6,MA,1,4,0,0,0,1,0,D,0,No Preference
73,92,152,672,MA,50,177,0,251,0,42,54,D,60,Bernie Sanders
74,183,253,1406,MA,13,422,98,464,7,30,33,D,18,total
75,0,6,15,MI,0,0,0,9,0,0,2,R,2,Other/No Answer
76,0,18,98,MI,0,40,0,40,0,13,9,R,6,Marco Rubio
77,0,68,263,MI,0,102,0,93,0,33,21,R,22,John Kasich
78,0,12,12,MI,0,0,0,0,0,0,0,R,4,Uncommitted
79,0,68,271,MI,0,52,0,151,0,17,34,R,22,Ted Cruz
80,0,3,24,MI,0,12,0,9,0,4,2,R,1,Ben Carson
81,0,132,379,MI,0,105,0,142,0,34,32,R,43,Donald Trump
82,188,308,1341,MI,14,308,94,443,7,23,33,R,23,total
83,4,0,9,MI,1,0,0,5,0,0,1,D,0,Other/No Answer
84,188,155,730,MI,51,154,0,233,0,48,47,D,44,Hillary Clinton
85,0,7,30,MI,0,13,0,10,0,4,2,D,2,Uncommitted
86,177,190,769,MI,48,154,0,248,0,48,50,D,54,Bernie Sanders
87,368,352,1601,MI,23,320,64,496,4,20,31,D,22,total
88,4,0,4,MS,2,0,0,0,0,0,0,R,0,Other/No Answer
89,17,14,66,MS,9,16,0,19,0,6,4,R,5,Marco Rubio
90,4,16,87,MS,2,35,0,32,0,13,7,R,6,John Kasich
91,69,97,447,MS,36,100,0,181,0,37,39,R,36,Ted Cruz
92,2,5,19,MS,1,3,0,9,0,1,2,R,2,Ben Carson
93,96,138,577,MS,50,116,0,227,0,43,49,R,51,Donald Trump
94,193,270,1285,MS,15,270,90,463,7,21,36,R,21,total
95,4,0,4,MS,1,0,0,0,0,0,0,D,0,Other/No Answer
96,344,208,751,MS,85,0,0,199,0,0,80,D,80,Hillary Clinton
97,57,52,159,MS,14,0,0,50,0,0,20,D,20,Bernie Sanders
98,405,260,1038,MS,39,104,21,249,2,10,24,D,25,total
99,0,9,66,MO,0,26,0,31,0,9,6,R,3,Marco Rubio
100,0,29,119,MO,0,43,0,47,0,15,9,R,10,John Kasich
101,0,3,6,MO,0,3,0,0,0,1,0,R,1,Uncommitted
102,0,143,476,MO,0,126,0,207,0,44,40,R,50,Ted Cruz
103,0,0,8,MO,0,3,0,5,0,1,1,R,0,Ben Carson
104,0,106,425,MO,0,86,0,233,0,30,45,R,37,Donald Trump
105,177,286,1363,MO,13,286,82,518,6,21,38,R,21,total
106,124,132,548,MO,46,122,0,170,0,50,50,D,49,Hillary Clinton
107,3,0,3,MO,1,0,0,0,0,0,0,D,0,Uncommitted
108,143,137,572,MO,53,122,0,170,0,50,50,D,51,Bernie Sanders
109,269,269,1168,MO,23,245,58,339,5,21,29,D,23,total
110,2,10,20,NH,1,6,2,0,1,1,0,R,3,Other/No Answer
111,0,0,0,NH,0,0,0,0,0,0,0,R,0,Mike Huckabee
112,14,42,325,NH,7,120,41,108,20,19,16,R,13,John Kasich
113,33,29,232,NH,16,69,27,74,13,11,11,R,9,Jeb Bush
114,8,7,48,NH,4,13,0,20,0,2,3,R,2,Ben Carson
115,2,3,12,NH,1,0,0,7,0,0,1,R,1,Rand Paul
116,6,23,146,NH,3,57,20,40,10,9,6,R,7,Chris Christie
117,18,29,220,NH,9,82,24,67,12,13,10,R,9,Marco Rubio
118,29,39,230,NH,14,63,18,81,9,10,12,R,12,Ted Cruz
119,0,0,0,NH,0,0,0,0,0,0,0,R,0,Rick Santorum
120,12,13,77,NH,6,19,6,27,3,3,4,R,4,Carly Fiorina
121,80,130,726,NH,39,202,65,249,32,32,37,R,40,Donald Trump
122,204,326,2036,NH,10,631,204,672,10,31,33,R,16,total
123,12,4,31,NH,4,6,2,7,1,1,1,D,1,Other/No Answer
124,75,156,846,NH,24,264,94,257,53,44,35,D,39,Hillary Clinton
125,0,0,0,NH,0,0,0,0,0,0,0,D,0,Martin O'Malley
126,224,240,1345,NH,72,330,82,469,46,55,64,D,60,Bernie Sanders
127,311,400,2222,NH,14,600,178,733,8,27,33,D,18,total
128,30,37,215,NY,26,75,0,73,0,26,24,R,24,John Kasich
129,60,80,511,NY,52,181,0,190,0,63,62,R,52,Donald Trump
130,25,38,138,NY,22,32,0,43,0,11,14,R,25,Ted Cruz
131,115,153,957,NY,12,287,86,306,9,30,32,R,16,total
132,158,158,725,NY,60,176,0,233,0,55,54,D,57,Hillary Clinton
133,106,120,568,NY,40,144,0,198,0,45,46,D,43,Bernie Sanders
134,264,278,1391,NY,19,320,97,431,7,23,31,D,20,total
135,0,0,4,NC,0,4,0,0,0,1,0,R,0,Other/No Answer
136,0,27,97,NC,0,25,0,45,0,6,7,R,8,Marco Rubio
137,0,0,6,NC,0,0,0,6,0,0,1,R,0,No Preference
138,0,31,147,NC,0,58,0,58,0,14,9,R,9,John Kasich
139,0,106,583,NC,0,166,0,311,0,40,48,R,31,Ted Cruz
140,0,0,14,NC,0,8,0,6,0,2,1,R,0,Ben Carson
141,0,178,551,NC,0,153,0,220,0,37,34,R,52,Donald Trump
142,234,342,1800,NC,13,414,162,648,9,23,36,R,19,total
143,0,0,13,NC,0,7,0,6,0,2,1,D,0,Other/No Answer
144,195,220,910,NC,55,220,0,275,0,59,46,D,49,Hillary Clinton
145,11,9,51,NC,3,7,0,24,0,2,4,D,2,No Preference
146,149,220,800,NC,42,138,0,293,0,37,49,D,49,Bernie Sanders
147,355,448,1867,NC,19,373,75,597,4,20,32,D,24,total
148,8,0,8,OH,3,0,0,0,0,0,0,R,0,Other/No Answer
149,3,14,53,OH,1,13,0,23,0,2,3,R,3,Marco Rubio
150,104,170,993,OH,40,384,0,335,0,58,43,R,36,John Kasich
151,42,90,326,OH,16,93,0,101,0,14,13,R,19,Ted Cruz
152,3,0,11,OH,1,0,0,8,0,0,1,R,0,Ben Carson
153,101,199,784,OH,39,172,0,312,0,26,40,R,42,Donald Trump
154,260,473,2363,OH,11,662,213,780,9,28,33,R,20,total
155,11,4,15,OH,3,0,0,0,0,0,0,D,1,Other/No Answer
156,218,189,930,OH,59,207,0,316,0,51,56,D,51,Hillary Clinton
157,141,178,766,OH,38,199,0,248,0,49,44,D,48,Bernie Sanders
158,370,370,1764,OH,21,406,71,564,4,23,32,D,21,total
159,1,2,9,OK,1,0,3,3,3,0,1,R,1,Other/No Answer
160,21,47,250,OK,19,78,30,74,32,31,24,R,28,Marco Rubio
161,1,7,28,OK,1,5,9,6,10,2,2,R,4,John Kasich
162,41,56,314,OK,36,81,24,112,25,32,36,R,33,Ted Cruz
163,6,8,65,OK,5,18,8,25,8,7,8,R,5,Ben Carson
164,1,0,2,OK,1,0,1,0,1,0,0,R,0,Jeb Bush
165,42,49,272,OK,37,71,20,90,21,28,29,R,29,Donald Trump
166,113,169,938,OK,12,253,94,310,10,27,33,R,18,total
167,3,16,54,OK,2,7,0,28,0,5,10,D,8,Other/No Answer
168,72,75,315,OK,44,68,0,100,0,46,36,D,38,Hillary Clinton
169,89,106,419,OK,54,73,0,151,0,49,54,D,54,Bernie Sanders
170,164,197,821,OK,20,148,33,279,4,18,34,D,24,total
171,0,0,5,SC,0,5,0,0,0,1,0,R,0,Other/No Answer
172,0,69,362,SC,0,149,0,144,0,28,19,R,20,Marco Rubio
173,0,24,141,SC,0,64,0,53,0,12,7,R,7,John Kasich
174,0,94,381,SC,0,90,0,197,0,17,26,R,27,Ted Cruz
175,0,17,114,SC,0,37,0,60,0,7,8,R,5,Ben Carson
176,0,28,110,SC,0,37,0,45,0,7,6,R,8,Jeb Bush
177,0,115,521,SC,0,149,0,257,0,28,34,R,33,Donald Trump
178,204,347,2043,SC,10,531,204,756,10,26,37,R,17,total
179,0,0,4,SC,0,0,0,4,0,0,1,D,0,Other/No Answer
180,390,290,1045,SC,81,133,0,232,0,70,66,D,71,Hillary Clinton
181,92,119,384,SC,19,57,0,116,0,30,33,D,29,Bernie Sanders
182,482,409,1461,SC,33,190,29,351,2,13,24,D,28,total
183,0,3,8,TN,0,0,0,5,0,0,1,R,1,Other/No Answer
184,0,52,224,TN,0,70,0,102,0,22,21,R,18,Marco Rubio
185,0,6,57,TN,0,22,0,29,0,7,6,R,2,John Kasich
186,0,0,0,TN,0,0,0,0,0,0,0,R,0,Uncommitted
187,0,69,273,TN,0,82,0,122,0,26,25,R,24,Ted Cruz
188,0,17,70,TN,0,19,0,34,0,6,7,R,6,Ben Carson
189,0,9,9,TN,0,0,0,0,0,0,0,R,3,Jeb Bush
190,0,132,450,TN,0,123,0,195,0,39,40,R,46,Donald Trump
191,187,287,1435,TN,13,316,158,488,11,22,34,R,20,total
192,2,2,4,TN,1,0,0,0,0,0,0,D,1,Other/No Answer
193,124,141,584,TN,58,160,0,159,0,72,61,D,66,Hillary Clinton
194,0,0,5,TN,0,2,0,3,0,1,1,D,0,Uncommitted
195,87,70,316,TN,41,60,0,99,0,27,38,D,33,Bernie Sanders
196,213,213,966,TN,22,222,48,261,5,23,27,D,22,total
197,0,41,329,TX,0,103,90,95,38,18,13,R,14,Marco Rubio
198,0,18,69,TX,0,29,7,15,3,5,2,R,6,John Kasich
199,0,0,11,TX,0,11,0,0,0,2,0,R,0,Uncommitted
200,0,94,812,TX,0,234,76,408,32,41,56,R,32,Ted Cruz
201,0,15,55,TX,0,11,7,22,3,2,3,R,5,Ben Carson
202,0,15,22,TX,0,0,0,7,0,0,1,R,5,Jeb Bush
