id,$50k to $100k,count,under $50k,name,party,state,$100k or more
1,1,,,Other/No Answer,R,AL,2
2,19,,18,Marco Rubio,R,AL,19
3,3,,5,John Kasich,R,AL,9
4,0,,2,Uncommitted,R,AL,0
5,27,,16,Ted Cruz,R,AL,17
6,8,,13,Ben Carson,R,AL,7
7,1,,0,Jeb Bush,R,AL,
8,41,,46,Donald Trump,R,AL,46
9,34,1237,41,total,R,AL,25
10,1,,,Other/No Answer,D,AL,
11,71,,80,Hillary Clinton,D,AL,82
12,1,,3,Uncommitted,D,AL,1
13,27,,17,Bernie Sanders,D,AL,18
14,25,865,55,total,D,AL,20
15,2,,4,Other/No Answer,R,AR,
16,26,,23,Marco Rubio,R,AR,27
17,6,,3,John Kasich,R,AR,2
18,34,,27,Ted Cruz,R,AR,25
19,4,,4,Ben Carson,R,AR,8
20,1,,1,Jeb Bush,R,AR,
21,27,,38,Donald Trump,R,AR,38
22,35,1382,35,total,R,AR,31
23,2,,2,Other/No Answer,D,AR,1
24,69,,69,Hillary Clinton,D,AR,70
25,29,,29,Bernie Sanders,D,AR,29
26,28,944,51,total,D,AR,21
27,,,3,Other/No Answer,R,FL,2
28,28,,26,Marco Rubio,R,FL,31
29,6,,5,John Kasich,R,FL,9
30,21,,16,Ted Cruz,R,FL,10
31,1,,2,Ben Carson,R,FL,0
32,45,,48,Donald Trump,R,FL,48
33,32,1907,33,total,R,FL,35
34,1,,1,Other/No Answer,D,FL,7
35,68,,65,Hillary Clinton,D,FL,59
36,31,,34,Bernie Sanders,D,FL,34
37,31,1659,50,total,D,FL,19
38,21,,21,Marco Rubio,R,GA,33
39,7,,3,John Kasich,R,GA,6
40,25,,16,Ted Cruz,R,GA,24
41,7,,10,Ben Carson,R,GA,4
42,1,,1,Jeb Bush,R,GA,1
43,39,,49,Donald Trump,R,GA,32
44,34,1704,26,total,R,GA,41
45,1,,1,Other/No Answer,D,GA,1
46,69,,70,Hillary Clinton,D,GA,75
47,30,,29,Bernie Sanders,D,GA,24
48,31,1491,43,total,D,GA,26
49,2,,,Other/No Answer,R,IL,3
50,10,,7,Marco Rubio,R,IL,7
51,18,,13,John Kasich,R,IL,25
52,34,,34,Ted Cruz,R,IL,25
53,1,,,Ben Carson,R,IL,1
54,35,,46,Donald Trump,R,IL,39
55,38,1233,23,total,R,IL,39
56,,,,Other/No Answer,D,IL,2
57,44,,56,Hillary Clinton,D,IL,52
58,56,,44,Bernie Sanders,D,IL,46
59,34,1521,38,total,D,IL,28
60,1,,5,Other/No Answer,R,MA,1
61,18,,19,Marco Rubio,R,MA,19
62,1,,1,No Preference,R,MA,0
63,17,,10,John Kasich,R,MA,21
64,9,,11,Ted Cruz,R,MA,8
65,4,,3,Ben Carson,R,MA,1
66,1,,1,Jeb Bush,R,MA,1
67,49,,50,Donald Trump,R,MA,49
68,34,801,20,total,R,MA,46
69,,,1,Other/No Answer,D,MA,1
70,46,,43,Hillary Clinton,D,MA,59
71,0,,0,No Preference,D,MA,1
72,54,,56,Bernie Sanders,D,MA,39
73,33,1406,31,total,D,MA,37
74,2,,,Other/No Answer,R,MI,
75,9,,8,Marco Rubio,R,MI,13
76,21,,22,John Kasich,R,MI,32
77,,,3,Uncommitted,R,MI,
78,34,,23,Ted Cruz,R,MI,15
79,2,,2,Ben Carson,R,MI,3
80,32,,42,Donald Trump,R,MI,37
81,33,1341,37,total,R,MI,30
82,1,,,Other/No Answer,D,MI,
83,47,,48,Hillary Clinton,D,MI,50
