id,count,married men,unmarried men:count,married women:count,name,married women,unmarried men,party,unmarried women:count,state,married men:count,unmarried women
1,7,2,0,0,Other/No Answer,0,0,D,0,IL,7,0
2,749,51,127,251,Hillary Clinton,61,38,D,185,IL,186,45
3,766,47,208,160,Bernie Sanders,39,62,D,226,IL,172,55
4,1521,24,335,411,total,27,22,D,411,IL,365,27
5,4,0,0,0,Other/No Answer,0,0,D,4,MI,0,1
6,739,46,141,220,Hillary Clinton,53,44,D,179,MI,199,43
7,29,1,0,0,Uncommitted,0,0,D,25,MI,4,6
8,812,53,179,196,Bernie Sanders,47,56,D,208,MI,229,50
9,1601,27,320,416,total,26,20,D,416,MI,432,26
10,518,51,0,214,Hillary Clinton,59,0,D,137,MO,167,47
11,6,1,0,0,Uncommitted,0,0,D,3,MO,3,1
12,460,48,0,148,Bernie Sanders,41,0,D,155,MO,157,53
13,1168,28,187,362,total,31,16,D,292,MO,327,25
14,788,55,90,268,Hillary Clinton,69,36,D,254,NY,176,59
15,602,45,160,121,Bernie Sanders,31,64,D,177,NY,144,41
16,1391,23,250,389,total,28,18,D,431,NY,320,31
17,14,3,0,0,Other/No Answer,0,0,D,0,NC,14,0
18,1079,55,136,394,Hillary Clinton,66,43,D,292,NC,257,58
19,53,4,6,18,No Preference,3,2,D,10,NC,19,2
20,743,38,174,185,Bernie Sanders,31,55,D,207,NC,177,41
21,1867,25,317,597,total,32,17,D,504,NC,467,27
22,14,2,0,5,Other/No Answer,1,0,D,0,OH,9,0
23,986,50,143,344,Hillary Clinton,65,45,D,269,OH,230,61
24,747,48,175,180,Bernie Sanders,34,55,D,172,OH,220,39
25,1764,26,318,529,total,30,18,D,441,OH,459,25
26,752,38,105,271,Hillary Clinton,51,33,D,214,WI,162,43
27,1017,62,214,261,Bernie Sanders,49,67,D,278,WI,264,56
28,5,0,0,0,Uninstructed,0,0,D,5,WI,0,1
29,1774,24,319,532,total,30,18,D,497,WI,426,28
