id,govt spending,count,immigration,name,terrorism,party,state,economy/jobs
1,,,3,Other/No Answer,,R,IL,3
2,10,,1,Marco Rubio,11,R,IL,9
3,21,,6,John Kasich,17,R,IL,23
4,37,,21,Ted Cruz,32,R,IL,27
5,1,,0,Ben Carson,0,R,IL,1
6,31,,69,Donald Trump,40,R,IL,37
7,32,1233,9,total,16,R,IL,40
8,1,,,Other/No Answer,,R,NY,
9,24,,,John Kasich,22,R,NY,32
10,57,,,Donald Trump,63,R,NY,54
11,18,,,Ted Cruz,15,R,NY,14
12,28,957,9,total,23,R,NY,36
13,1,,,Other/No Answer,1,R,OK,1
14,25,,,Marco Rubio,24,R,OK,31
15,4,,,John Kasich,1,R,OK,6
16,39,,,Ted Cruz,34,R,OK,25
17,7,,,Ben Carson,5,R,OK,7
18,0,,,Jeb Bush,1,R,OK,
19,24,,,Donald Trump,34,R,OK,30
20,32,938,9,total,23,R,OK,34
21,1,,,Other/No Answer,3,R,VT,2
22,18,,,Marco Rubio,23,R,VT,20
23,37,,,John Kasich,18,R,VT,42
24,13,,,Ted Cruz,8,R,VT,6
25,4,,,Ben Carson,5,R,VT,4
26,0,,,Jeb Bush,,R,VT,3
27,27,,,Donald Trump,43,R,VT,23
28,26,536,11,total,22,R,VT,37
29,2,,,Other/No Answer,2,R,WI,4
30,13,,,John Kasich,12,R,WI,20
31,34,,,Donald Trump,36,R,WI,30
32,0,,,Uninstructed,0,R,WI,0
33,51,,,Ted Cruz,50,R,WI,46
34,31,1532,6,total,30,R,WI,32
