id,democrats:count,republicans:count,count,republicans,party,independents:count,state,democrats,independents,name
1,0,145,222,17,R,77,AL,0,23,Marco Rubio
2,0,34,54,4,R,20,AL,0,6,John Kasich
3,0,9,12,1,R,3,AL,0,1,Uncommitted
4,0,196,259,23,R,63,AL,0,19,Ted Cruz
5,0,77,120,9,R,43,AL,0,13,Ben Carson
6,0,9,9,1,R,0,AL,0,0,Jeb Bush
7,0,393,520,46,R,127,AL,0,38,Donald Trump
8,49,854,1237,69,R,334,AL,4,27,total
9,0,0,4,0,R,4,AR,0,1,Other/No Answer
10,0,235,337,27,R,102,AR,0,23,Marco Rubio
11,0,17,52,2,R,35,AR,0,8,John Kasich
12,0,279,403,32,R,124,AR,0,28,Ted Cruz
13,0,52,70,6,R,18,AR,0,4,Ben Carson
14,0,0,4,0,R,4,AR,0,1,Jeb Bush
15,0,287,442,33,R,155,AR,0,35,Donald Trump
16,69,871,1382,63,R,442,AR,5,32,total
17,0,29,46,2,R,17,FL,0,4,Other/No Answer
18,0,400,505,28,R,105,FL,0,25,Marco Rubio
19,0,72,110,5,R,38,FL,0,9,John Kasich
20,0,243,319,17,R,76,FL,0,18,Ted Cruz
21,0,14,18,1,R,4,FL,0,1,Ben Carson
22,0,672,853,47,R,181,FL,0,43,Donald Trump
23,57,1430,1907,75,R,420,FL,3,22,total
24,13,0,25,0,D,12,FL,1,4,Other/No Answer
25,931,0,1054,0,D,123,FL,71,41,Hillary Clinton
26,367,0,531,0,D,164,FL,28,55,Bernie Sanders
27,1311,50,1659,3,D,299,FL,79,18,total
28,0,12,12,1,R,0,GA,0,0,Other/No Answer
29,0,310,408,26,R,98,GA,0,23,Marco Rubio
30,0,48,86,4,R,38,GA,0,9,John Kasich
31,0,298,383,25,R,85,GA,0,20,Ted Cruz
32,0,60,94,5,R,34,GA,0,8,Ben Carson
33,0,0,4,0,R,4,GA,0,1,Jeb Bush
34,0,465,631,39,R,166,GA,0,39,Donald Trump
35,85,1193,1704,70,R,426,GA,5,25,total
36,0,8,18,1,R,10,IL,0,3,Other/No Answer
37,0,73,105,9,R,32,IL,0,10,Marco Rubio
38,0,122,212,15,R,90,IL,0,28,John Kasich
