id,white:count,non to white,count,party,non to white:count,state,name,white
1,207,0,207,R,0,AL,Marco Rubio,18
2,58,0,58,R,0,AL,John Kasich,5
3,12,0,12,R,0,AL,Uncommitted,1
4,253,0,253,R,0,AL,Ted Cruz,22
5,115,0,115,R,0,AL,Ben Carson,10
6,0,0,0,R,0,AL,Jeb Bush,0
7,506,0,506,R,0,AL,Donald Trump,44
8,1150,7,1237,R,87,AL,total,93
9,0,2,10,D,10,AL,Other/No Answer,0
10,204,89,666,D,462,AL,Hillary Clinton,59
11,10,2,20,D,10,AL,Uncommitted,3
12,131,7,167,D,36,AL,Bernie Sanders,38
13,346,60,865,D,519,AL,total,40
14,27,0,27,R,0,AR,Other/No Answer,2
15,345,0,345,R,0,AR,Marco Rubio,26
16,53,0,53,R,0,AR,John Kasich,4
17,385,0,385,R,0,AR,Ted Cruz,29
18,66,0,66,R,0,AR,Ben Carson,5
19,0,0,0,R,0,AR,Jeb Bush,0
20,451,0,451,R,0,AR,Donald Trump,34
21,1327,4,1382,R,55,AR,total,96
22,19,0,19,D,0,AR,Other/No Answer,3
23,392,83,651,D,259,AR,Hillary Clinton,62
24,221,17,274,D,53,AR,Bernie Sanders,35
25,632,33,944,D,312,AR,total,67
26,0,8,34,R,34,FL,Other/No Answer,0
27,327,45,516,R,189,FL,Marco Rubio,22
28,119,4,136,R,17,FL,John Kasich,8
29,268,16,335,R,67,FL,Ted Cruz,18
30,15,0,15,R,0,FL,Ben Carson,1
31,758,27,871,R,113,FL,Donald Trump,51
32,1487,22,1907,R,420,FL,total,78
33,32,1,41,D,9,FL,Other/No Answer,4
34,422,74,1061,D,639,FL,Hillary Clinton,53
35,342,25,558,D,216,FL,Bernie Sanders,43
36,796,52,1659,D,863,FL,total,48
37,0,1,2,R,2,GA,Other/No Answer,0
38,360,34,429,R,69,GA,Marco Rubio,24
39,90,3,96,R,6,GA,John Kasich,6
40,360,19,399,R,39,GA,Ted Cruz,24
41,75,14,104,R,29,GA,Ben Carson,5
42,15,0,15,R,0,GA,Jeb Bush,1
43,615,29,674,R,59,GA,Donald Trump,41
44,1500,12,1704,R,204,GA,total,88
45,6,0,6,D,0,GA,Other/No Answer,1
46,329,81,1077,D,748,GA,Hillary Clinton,58
47,232,19,408,D,176,GA,Bernie Sanders,41
48,567,62,1491,D,924,GA,total,38
49,34,0,34,R,0,IL,Other/No Answer,3
50,91,0,91,R,0,IL,Marco Rubio,8
51,215,0,215,R,0,IL,John Kasich,19
52,352,0,352,R,0,IL,Ted Cruz,31
53,0,0,0,R,0,IL,Ben Carson,0
54,442,0,442,R,0,IL,Donald Trump,39
55,1134,8,1233,R,99,IL,total,92
56,9,0,9,D,0,IL,Other/No Answer,1
57,370,63,773,D,403,IL,Hillary Clinton,42
58,503,37,739,D,236,IL,Bernie Sanders,57
59,882,42,1521,D,639,IL,total,58
60,133,0,133,R,0,MA,Marco Rubio,18
61,7,0,7,R,0,MA,No Preference,1
62,133,0,133,R,0,MA,John Kasich,18
