id,not at all,a great deal,name,not much,party,somewhat,state,count
1,,,Other/No Answer,,R,1,AL,
2,,20,Marco Rubio,,R,16,AL,
3,,2,John Kasich,,R,5,AL,
4,,0,Uncommitted,,R,0,AL,
5,,29,Ted Cruz,,R,22,AL,
6,,14,Ben Carson,,R,8,AL,
7,,1,Jeb Bush,,R,0,AL,
8,,34,Donald Trump,,R,48,AL,
9,8,47,total,13,R,32,AL,1237
10,,2,Other/No Answer,,R,1,AR,
11,,27,Marco Rubio,,R,26,AR,
12,,2,John Kasich,,R,5,AR,
13,,37,Ted Cruz,,R,23,AR,
14,,6,Ben Carson,,R,4,AR,
15,,1,Jeb Bush,,R,,AR,
16,,25,Donald Trump,,R,41,AR,
17,11,49,total,10,R,30,AR,1382
18,,,Other/No Answer,,R,1,GA,
19,26,23,Marco Rubio,31,R,22,GA,
20,8,3,John Kasich,11,R,6,GA,
21,11,32,Ted Cruz,13,R,21,GA,
22,5,8,Ben Carson,2,R,5,GA,
23,,1,Jeb Bush,0,R,0,GA,
24,50,33,Donald Trump,44,R,45,GA,
25,12,41,total,13,R,34,GA,1704
26,2,,Other/No Answer,3,R,,MI,
27,7,16,Marco Rubio,10,R,8,MI,
28,21,22,John Kasich,30,R,24,MI,
29,0,3,Uncommitted,2,R,1,MI,
30,13,34,Ted Cruz,16,R,32,MI,
31,2,1,Ben Carson,,R,3,MI,
32,55,24,Donald Trump,39,R,32,MI,
33,24,22,total,20,R,33,MI,1341
34,,40,Donald Trump,,R,56,MS,
35,,7,John Kasich,,R,7,MS,
36,,3,Marco Rubio,,R,7,MS,
37,,3,Ben Carson,,R,,MS,
38,,48,Ted Cruz,,R,31,MS,
39,9,54,total,9,R,28,MS,1285
40,2,,Other/No Answer,,R,,SC,
41,20,20,Marco Rubio,19,R,25,SC,
42,18,4,John Kasich,19,R,8,SC,
43,8,32,Ted Cruz,15,R,20,SC,
44,1,8,Ben Carson,4,R,7,SC,
45,18,9,Jeb Bush,5,R,4,SC,
46,33,27,Donald Trump,38,R,36,SC,
47,12,43,total,12,R,33,SC,2043
48,,2,Other/No Answer,,R,1,TN,
49,,21,Marco Rubio,,R,22,TN,
50,,2,John Kasich,,R,8,TN,
51,,,Uncommitted,,R,0,TN,
52,,34,Ted Cruz,,R,18,TN,
53,,9,Ben Carson,,R,2,TN,
54,,0,Jeb Bush,,R,3,TN,
55,,32,Donald Trump,,R,46,TN,
56,8,45,total,11,R,36,TN,1435
57,1,,Other/No Answer,1,R,1,TX,
58,23,16,Marco Rubio,23,R,17,TX,
59,6,1,John Kasich,10,R,5,TX,
60,1,1,Uncommitted,0,R,1,TX,
61,28,46,Ted Cruz,36,R,49,TX,
62,6,6,Ben Carson,1,R,2,TX,
63,5,2,Jeb Bush,,R,0,TX,
64,30,28,Donald Trump,29,R,25,TX,
65,14,38,total,15,R,32,TX,1969
66,1,1,Other/No Answer,1,R,,VA,
67,36,25,Marco Rubio,37,R,31,VA,
68,20,6,John Kasich,7,R,7,VA,
69,2,30,Ted Cruz,13,R,15,VA,
70,1,11,Ben Carson,4,R,5,VA,
71,1,2,Jeb Bush,1,R,1,VA,
72,39,25,Donald Trump,37,R,41,VA,
73,17,29,total,20,R,34,VA,1523
