id,experience,cares,electability,count,honest,name,party,state
1,,1,,,1,Other/No Answer,D,IL
2,83,36,75,,29,Hillary Clinton,D,IL
3,17,63,25,,70,Bernie Sanders,D,IL
4,25,28,13,1521,32,total,D,IL
5,81,40,73,,20,Hillary Clinton,D,MI
6,1,4,,,2,Uncommitted,D,MI
7,18,56,27,,78,Bernie Sanders,D,MI
8,26,33,11,1601,28,total,D,MI
9,1,,,,1,Other/No Answer,D,OH
10,84,42,83,,26,Hillary Clinton,D,OH
11,15,58,17,,73,Bernie Sanders,D,OH
12,31,28,13,1764,26,total,D,OH
13,,,,,1,Other/No Answer,D,WI
14,86,29,64,,16,Hillary Clinton,D,WI
15,14,71,36,,83,Bernie Sanders,D,WI
16,,0,0,,0,Uninstructed,D,WI
17,27,30,9,1774,33,total,D,WI
