id,count,tells it like it is,state,can bring change:count,party,tells it like it is:count,shares my values,electability:count,shares my values:count,electability,can bring change,name,cares,cares:count,experience:count,experience,honest,honest:count
1,19,1,IL,8,R,2,1,4,5,3,2,Other/No Answer,,,,,,
2,104,3,IL,23,R,6,13,14,61,10,6,Marco Rubio,,,,,,
3,233,6,IL,61,R,13,30,18,141,13,16,John Kasich,,,,,,
4,364,11,IL,99,R,23,41,50,192,37,26,Ted Cruz,,,,,,
5,5,0,IL,0,R,0,1,0,5,0,0,Ben Carson,,,,,,
6,473,79,IL,191,R,166,14,50,66,37,50,Donald Trump,,,,,,
7,1233,17,IL,382,R,210,38,136,469,11,31,total,,,,,,
8,9,,IL,,D,,,0,,0,,Other/No Answer,1,4,0,0,1,5
9,757,,IL,,D,,,148,,75,,Hillary Clinton,36,153,315,83,29,141
10,724,,IL,,D,,,50,,25,,Bernie Sanders,63,268,65,17,70,341
11,1521,,IL,,D,,,198,,13,,total,28,426,380,25,32,487
12,766,,MI,,D,,,128,,73,,Hillary Clinton,40,211,337,81,20,90
13,34,,MI,,D,,,0,,0,,Uncommitted,4,21,4,1,2,9
14,768,,MI,,D,,,48,,27,,Bernie Sanders,56,296,75,18,78,349
15,1601,,MI,,D,,,176,,11,,total,33,528,416,26,28,448
16,199,9,NY,60,R,22,47,0,117,0,18,John Kasich,,,,,,
17,525,91,NY,238,R,227,24,0,60,0,71,Donald Trump,,,,,,
18,114,1,NY,40,R,2,29,0,72,0,12,Ted Cruz,,,,,,
19,957,26,NY,335,R,249,26,105,249,11,35,total,,,,,,
20,10,,OH,,D,,,0,,0,,Other/No Answer,0,0,5,1,1,5
21,975,,OH,,D,,,190,,83,,Hillary Clinton,42,207,459,84,26,119
22,743,,OH,,D,,,39,,17,,Bernie Sanders,58,287,82,15,73,335
23,1764,,OH,,D,,,229,,13,,total,28,494,547,31,26,459
24,7,1,OK,0,R,1,1,2,4,2,0,Other/No Answer,,,,,,
25,243,3,OK,56,R,4,31,55,128,45,22,Marco Rubio,,,,,,
26,38,4,OK,10,R,6,4,5,17,4,4,John Kasich,,,,,,
27,311,8,OK,76,R,11,45,38,186,31,30,Ted Cruz,,,,,,
28,55,0,OK,18,R,0,9,0,37,0,7,Ben Carson,,,,,,
29,1,0,OK,0,R,0,0,1,0,1,0,Jeb Bush,,,,,,
30,274,84,OK,94,R,118,10,21,41,17,37,Donald Trump,,,,,,
31,938,15,OK,253,R,141,44,122,413,13,27,total,,,,,,
32,7,0,VT,3,R,0,2,0,4,0,2,Other/No Answer,,,,,,
33,73,5,VT,25,R,6,24,0,42,0,16,Marco Rubio,,,,,,
34,147,16,VT,50,R,19,44,0,78,0,32,John Kasich,,,,,,
35,43,3,VT,16,R,4,13,0,23,0,10,Ted Cruz,,,,,,
36,22,2,VT,8,R,2,7,0,12,0,5,Ben Carson,,,,,,
37,6,0,VT,6,R,0,0,0,0,0,4,Jeb Bush,,,,,,
38,153,74,VT,48,R,87,10,0,18,0,31,Donald Trump,,,,,,
39,536,22,VT,155,R,118,33,75,177,14,29,total,,,,,,
40,35,1,WI,16,R,3,3,0,16,0,3,Other/No Answer,,,,,,
41,219,8,WI,68,R,22,20,22,107,13,13,John Kasich,,,,,,
42,530,77,WI,224,R,213,11,34,59,20,43,Donald Trump,,,,,,
43,0,0,WI,0,R,0,0,0,0,0,0,Uninstructed,,,,,,
44,722,14,WI,214,R,39,66,115,354,68,41,Ted Cruz,,,,,,
45,1532,18,WI,521,R,276,35,169,536,11,34,total,,,,,,
46,6,,WI,,D,,,0,,0,,Other/No Answer,0,0,0,0,1,6
47,762,,WI,,D,,,102,,64,,Hillary Clinton,29,154,412,86,16,94
48,989,,WI,,D,,,58,,36,,Bernie Sanders,71,378,67,14,83,486
49,0,,WI,,D,,,0,,0,,Uninstructed,0,0,0,0,0,0
50,1774,,WI,,D,,,160,,9,,total,30,532,479,27,33,585
