id,no,yes,count,name,party,state
1,,1,,Other/No Answer,R,AL
2,23,17,,Marco Rubio,R,AL
3,8,3,,John Kasich,R,AL
4,1,1,,Uncommitted,R,AL
5,16,23,,Ted Cruz,R,AL
6,9,11,,Ben Carson,R,AL
7,0,1,,Jeb Bush,R,AL
8,43,43,,Donald Trump,R,AL
9,32,68,1237,total,R,AL
10,1,2,,Other/No Answer,R,AR
11,27,25,,Marco Rubio,R,AR
12,9,2,,John Kasich,R,AR
13,21,33,,Ted Cruz,R,AR
14,3,6,,Ben Carson,R,AR
15,1,0,,Jeb Bush,R,AR
16,38,32,,Donald Trump,R,AR
17,28,72,1382,total,R,AR
18,2,2,,Other/No Answer,R,FL
19,32,19,,Marco Rubio,R,FL
20,6,8,,John Kasich,R,FL
21,15,20,,Ted Cruz,R,FL
22,0,2,,Ben Carson,R,FL
23,45,49,,Donald Trump,R,FL
24,62,38,1907,total,R,FL
25,1,1,,Other/No Answer,R,GA
26,28,22,,Marco Rubio,R,GA
27,8,4,,John Kasich,R,GA
28,17,27,,Ted Cruz,R,GA
29,7,5,,Ben Carson,R,GA
30,0,1,,Jeb Bush,R,GA
31,39,40,,Donald Trump,R,GA
32,41,59,1704,total,R,GA
33,1,1,,Other/No Answer,R,IL
34,8,7,,Marco Rubio,R,IL
35,21,18,,John Kasich,R,IL
36,27,38,,Ted Cruz,R,IL
37,1,1,,Ben Carson,R,IL
38,42,35,,Donald Trump,R,IL
39,62,38,1233,total,R,IL
40,2,,,Other/No Answer,R,MI
41,11,8,,Marco Rubio,R,MI
42,28,19,,John Kasich,R,MI
43,1,2,,Uncommitted,R,MI
44,18,32,,Ted Cruz,R,MI
45,2,2,,Ben Carson,R,MI
46,38,37,,Donald Trump,R,MI
47,52,48,1341,total,R,MI
48,51,47,,Donald Trump,R,MS
49,14,6,,John Kasich,R,MS
50,9,4,,Marco Rubio,R,MS
51,2,2,,Ben Carson,R,MS
52,24,41,,Ted Cruz,R,MS
53,24,76,1285,total,R,MS
54,2,1,,Other/No Answer,R,MO
55,8,4,,Marco Rubio,R,MO
56,14,7,,John Kasich,R,MO
57,1,,,Uncommitted,R,MO
58,34,49,,Ted Cruz,R,MO
59,0,1,,Ben Carson,R,MO
60,41,38,,Donald Trump,R,MO
61,46,54,1363,total,R,MO
62,25,25,,John Kasich,R,NY
63,63,50,,Donald Trump,R,NY
64,12,25,,Ted Cruz,R,NY
65,77,23,957,total,R,NY
66,,2,,Other/No Answer,R,NC
67,10,5,,Marco Rubio,R,NC
68,1,0,,No Preference,R,NC
69,23,7,,John Kasich,R,NC
70,29,44,,Ted Cruz,R,NC
71,1,1,,Ben Carson,R,NC
72,36,41,,Donald Trump,R,NC
73,37,63,1800,total,R,NC
74,1,,,Other/No Answer,R,OH
75,4,1,,Marco Rubio,R,OH
76,51,43,,John Kasich,R,OH
77,9,20,,Ted Cruz,R,OH
78,0,1,,Ben Carson,R,OH
79,35,35,,Donald Trump,R,OH
80,55,45,2363,total,R,OH
81,,2,,Other/No Answer,R,OK
82,29,25,,Marco Rubio,R,OK
83,7,2,,John Kasich,R,OK
84,20,40,,Ted Cruz,R,OK
85,5,7,,Ben Carson,R,OK
86,1,0,,Jeb Bush,R,OK
87,38,24,,Donald Trump,R,OK
88,33,67,938,total,R,OK
89,2,,,Other/No Answer,R,SC
90,22,21,,Marco Rubio,R,SC
91,16,5,,John Kasich,R,SC
92,17,26,,Ted Cruz,R,SC
93,5,7,,Ben Carson,R,SC
94,9,7,,Jeb Bush,R,SC
95,29,34,,Donald Trump,R,SC
96,33,67,2043,total,R,SC
97,1,1,,Other/No Answer,R,TN
98,29,18,,Marco Rubio,R,TN
99,8,4,,John Kasich,R,TN
100,0,0,,Uncommitted,R,TN
101,18,28,,Ted Cruz,R,TN
102,5,7,,Ben Carson,R,TN
103,2,1,,Jeb Bush,R,TN
104,37,41,,Donald Trump,R,TN
105,31,69,1435,total,R,TN
106,23,14,,Marco Rubio,R,TX
107,6,3,,John Kasich,R,TX
108,1,1,,Uncommitted,R,TX
109,35,51,,Ted Cruz,R,TX
110,4,4,,Ben Carson,R,TX
111,3,1,,Jeb Bush,R,TX
112,29,26,,Donald Trump,R,TX
113,49,51,1969,total,R,TX
114,3,,,Other/No Answer,R,VT
115,18,24,,Marco Rubio,R,VT
116,34,22,,John Kasich,R,VT
117,7,17,,Ted Cruz,R,VT
118,2,9,,Ben Carson,R,VT
119,2,,,Jeb Bush,R,VT
120,34,28,,Donald Trump,R,VT
121,73,27,536,total,R,VT
122,,1,,Other/No Answer,R,VA
123,36,26,,Marco Rubio,R,VA
124,14,5,,John Kasich,R,VA
125,13,21,,Ted Cruz,R,VA
126,6,7,,Ben Carson,R,VA
127,1,1,,Jeb Bush,R,VA
128,30,39,,Donald Trump,R,VA
129,57,43,1523,total,R,VA
130,3,2,,Other/No Answer,R,WI
131,17,10,,John Kasich,R,WI
132,36,33,,Donald Trump,R,WI
133,0,,,Uninstructed,R,WI
134,44,55,,Ted Cruz,R,WI
135,62,38,1532,total,R,WI
