id,very worried,not at all worried,not too worried,count,name,party,state,somewhat worried
1,,,,,Other/No Answer,R,IL,5
2,8,,,,Marco Rubio,R,IL,16
3,15,,,,John Kasich,R,IL,28
4,32,,,,Ted Cruz,R,IL,23
5,1,,,,Ben Carson,R,IL,
6,44,,,,Donald Trump,R,IL,28
7,65,2,4,1233,total,R,IL,28
8,,,,,Other/No Answer,R,NY,1
9,22,,,,John Kasich,R,NY,33
10,62,,,,Donald Trump,R,NY,55
11,17,,,,Ted Cruz,R,NY,11
12,64,1,6,957,total,R,NY,28
13,1,,,,Other/No Answer,R,OK,
14,23,,,,Marco Rubio,R,OK,35
15,3,,,,John Kasich,R,OK,5
16,37,,,,Ted Cruz,R,OK,27
17,6,,,,Ben Carson,R,OK,7
18,1,,,,Jeb Bush,R,OK,
19,29,,,,Donald Trump,R,OK,26
20,77,1,3,938,total,R,OK,18
21,3,,,,Other/No Answer,R,VT,
22,18,,,,Marco Rubio,R,VT,25
23,25,,,,John Kasich,R,VT,40
24,11,,,,Ted Cruz,R,VT,5
25,5,,,,Ben Carson,R,VT,3
26,2,,,,Jeb Bush,R,VT,2
27,36,,,,Donald Trump,R,VT,25
28,69,1,5,536,total,R,VT,25
29,3,,,,Other/No Answer,R,WI,3
30,11,,,,John Kasich,R,WI,18
31,40,,,,Donald Trump,R,WI,25
32,0,,,,Uninstructed,R,WI,0
33,46,,,,Ted Cruz,R,WI,54
34,65,1,5,1532,total,R,WI,29
35,37,,49,,Hillary Clinton,D,WI,43
36,62,,51,,Bernie Sanders,D,WI,57
37,1,,,,Uninstructed,D,WI,
38,31,3,19,1774,total,D,WI,46
