id,yes:count,no:count,count,yes,party,no,state,name
1,11,0,11,1,R,0,IL,Other/No Answer
2,115,0,115,10,R,0,IL,Marco Rubio
3,218,0,218,19,R,0,IL,John Kasich
4,344,0,344,30,R,0,IL,Ted Cruz
5,11,0,11,1,R,0,IL,Ben Carson
6,447,0,447,39,R,0,IL,Donald Trump
7,1147,74,1233,93,R,6,IL,total
8,220,0,220,25,R,0,NY,John Kasich
9,528,0,528,60,R,0,NY,Donald Trump
10,132,0,132,15,R,0,NY,Ted Cruz
11,880,77,957,92,R,8,NY,total
12,9,0,9,1,R,0,OK,Other/No Answer
13,234,0,234,26,R,0,OK,Marco Rubio
14,27,0,27,3,R,0,OK,John Kasich
15,315,0,315,35,R,0,OK,Ted Cruz
16,54,0,54,6,R,0,OK,Ben Carson
17,0,0,0,0,R,0,OK,Jeb Bush
18,261,0,261,29,R,0,OK,Donald Trump
19,900,38,938,96,R,4,OK,total
20,10,0,10,2,R,0,VT,Other/No Answer
21,101,0,101,20,R,0,VT,Marco Rubio
22,146,0,146,29,R,0,VT,John Kasich
23,50,0,50,10,R,0,VT,Ted Cruz
24,20,0,20,4,R,0,VT,Ben Carson
25,10,0,10,2,R,0,VT,Jeb Bush
26,166,0,166,33,R,0,VT,Donald Trump
27,504,32,536,94,R,6,VT,total
28,58,0,58,4,R,0,WI,Other/No Answer
29,187,0,187,13,R,0,WI,John Kasich
30,504,0,504,35,R,0,WI,Donald Trump
31,0,0,0,0,R,0,WI,Uninstructed
32,691,0,691,48,R,0,WI,Ted Cruz
33,1440,92,1532,94,R,6,WI,total
34,560,203,763,41,D,52,WI,Hillary Clinton
35,806,187,993,59,D,48,WI,Bernie Sanders
36,0,0,0,0,D,0,WI,Uninstructed
37,1366,390,1774,77,D,22,WI,total
